genres,main_genre,secondary_genre,hours_played
finnish edm,,,2.986323611111110
new weird america,,,2.9573086111111100
girl group,,,2.945669166666670
bebop,,,2.9445169444444400
full on,,,2.914232222222220
afrobeats,,,2.897842777777780
britpop,,,2.8964
contemporary post-bop,,,2.893187222222220
italian techno,,,2.892131111111110
canadian metal,,,2.8854458333333300
indie electropop,,,2.8547719444444400
rockabilly,,,2.8457625
sophisti-pop,,,2.843726111111110
hard bop,,,2.8308030555555600
relaxative,,,2.818923888888890
hopebeat,,,2.8159763888888900
brighton indie,,,2.8113244444444400
alternative country,,,2.8104080555555600
melbourne indie,,,2.8027625
shiver pop,,,2.797235
early modern classical,,,2.7835219444444400
classic garage rock,,,2.7822802777777800
neo-singer-songwriter,,,2.772163611111110
psychedelic pop,,,2.764641111111110
microhouse,,,2.764298611111110
nashville sound,,,2.7318105555555600
lo-fi latino,,,2.7064766666666700
easy listening,,,2.7061272222222200
canadian modern jazz,,,2.705312222222220
acoustic rock,,,2.698993888888890
europop,,,2.6813105555555600
tech house,,,2.6321691666666700
banjo,,,2.630213611111110
eurodance,,,2.617366111111110
scandipop,,,2.614776388888890
experimental pop,,,2.5945858333333300
indie garage rock,,,2.5762094444444400
arkansas country,,,2.5731977777777800
ambient,,,2.566833888888890
electronic rock,,,2.565202777777780
bass trap,,,2.5227233333333300
environmental,,,2.5227191666666700
modern southern rock,,,2.5032047222222200
pastoral,,,2.483105833333330
comedy rap,,,2.4448741666666700
nigerian pop,,,2.44067
deep smooth jazz,,,2.420548888888890
french baroque,,,2.420263888888890
lilith,,,2.4158691666666700
gauze pop,,,2.4072716666666700
austin americana,,,2.3993119444444400
classify,,,2.3982983333333300
boom bap,,,2.3936627777777800
shanty,,,2.382893888888890
malian blues,,,2.381236388888890
jazz piano,,,2.3776475
traprun,,,2.3710544444444400
socal pop punk,,,2.3348577777777800
alabama rap,,,2.325408888888890
ambient guitar,,,2.3111691666666700
slovenian electronic,,,2.302516111111110
uk doom metal,,,2.295873333333330
j-pop,,,2.295602222222220
mande pop,,,2.278369722222220
ethio-jazz,,,2.2711591666666700
french opera,,,2.267268888888890
neon pop punk,,,2.2622597222222200
lo-fi brasileiro,,,2.2393008333333300
vaporwave,,,2.2392394444444400
south carolina hip hop,,,2.2374002777777800
french romanticism,,,2.224173611111110
electra,,,2.2194480555555600
mexican pop,,,2.212185277777780
microtonal,,,2.211692777777780
swedish tropical house,,,2.2038741666666700
shoegaze,,,2.2011761111111100
instrumental grime,,,2.200433888888890
hyperpop,,,2.2000788888888900
canadian americana,,,2.194068888888890
